InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV020152,SC2551,VINTAGE UNION JACK MEMOBOARD,1,2024-12-07 00:00:00,67.9,2005.0,Germany
INV023431,SC5947,GLASS STAR FROSTED T-LIGHT HOLDER,2,2024-11-11 00:00:00,74.61,2172.0,France
INV021119,SC8293,VINTAGE UNION JACK MEMOBOARD,6,2024-12-01 00:00:00,24.16,2043.0,Netherlands
INV024183,SC5841,REGENCY CAKESTAND 3 TIER,8,2024-09-17 00:00:00,74.48,2257.0,United Kingdom
INV025116,SC8717,JUMBO BAG RED RETROSPOT,8,2023-10-24 00:00:00,49.38,2455.0,United Kingdom
INV024267,SC3496,PARTY BUNTING,6,2024-07-24 00:00:00,25.41,2268.0,Belgium
INV021671,SC6993,WHITE HANGING HEART T-LIGHT HOLDER,4,2024-12-05 00:00:00,44.65,2063.0,Spain
INV024716,SC8958,VINTAGE UNION JACK MEMOBOARD,6,2024-10-10 00:00:00,N/A,2335.0,Netherlands
INV024705,SC2977,VINTAGE UNION JACK MEMOBOARD,1,2024-09-28 00:00:00,54.64,2333.0,United Kingdom
INV021945,SC2134,GLASS STAR FROSTED T-LIGHT HOLDER,9,2024-11-17 00:00:00,-2.5,2073.0,United Kingdom
INV022525,SC1719,CREAM CUPID HEARTS COAT HANGER,3,2024-11-05 00:00:00,9.98,2107.0,United Kingdom
INV024332,SC5625,GLASS STAR FROSTED T-LIGHT HOLDER,7,2024-09-04 00:00:00,N/A,2279.0,United Kingdom
INV023931,SC8912,CREAM CUPID HEARTS COAT HANGER,6,2024-10-13 00:00:00,63.05,2218.0,Germany
INV020689,SC6491,LUNCH BAG RED RETROSPOT,1,2024-12-11 00:00:00,46.55,,Spain
INV021636,SC7771,ASSORTED COLOUR BIRD ORNAMENT,5,2024-11-20 00:00:00,14.6,2062.0,United Kingdom
INV022763,SC9310,JUMBO BAG RED RETROSPOT,5,2024-11-15 00:00:00,63.14,2124.0,United Kingdom
INV022680,SC2681,PACK OF 72 RETROSPOT CAKE CASES,3,2024-10-25 00:00:00,62.06,2118.0,United Kingdom
INV023356,SC9557,PACK OF 72 RETROSPOT CAKE CASES,2,2024-11-10 00:00:00,13.8,2167.0,Germany
INV022699,SC9514,JUMBO BAG RED RETROSPOT,5,2024-09-26 00:00:00,58.59,2120.0,Netherlands
INV020428,SC5189,CREAM CUPID HEARTS COAT HANGER,5,2024-12-03 00:00:00,0.0,2016.0,United Kingdom
INV024587,SC5505,GLASS STAR FROSTED T-LIGHT HOLDER,1,2024-08-01 00:00:00,19.08,2317.0,United Kingdom
INV022260,SC5574,GLASS STAR FROSTED T-LIGHT HOLDER,3,2024-11-26 00:00:00,37.31,2088.0,United Kingdom
INV024923,SC8701,WHITE HANGING HEART T-LIGHT HOLDER,4,2024-11-21 00:00:00,11.17,2387.0,United Kingdom
INV023214,SC3799,JUMBO BAG RED RETROSPOT,6,2024-10-21 00:00:00,63.93,2156.0,United Kingdom
INV020439,SC2053,PACK OF 72 RETROSPOT CAKE CASES,5,2024-12-23 00:00:00,62.62,2017.0,Spain
INV024009,SC3413,LUNCH BAG RED RETROSPOT,3,2024-08-13 00:00:00,19.55,2231.0,Netherlands
INV021818,SC8717,JUMBO BAG RED RETROSPOT,8,2024-12-18 00:00:00,72.22,2068.0,United Kingdom
INV022016,SC5275,CREAM CUPID HEARTS COAT HANGER,1,2024-11-24 00:00:00,48.41,2076.0,France
INV020938,SC2456,REGENCY CAKESTAND 3 TIER,4,2024-11-29 00:00:00,43.81,2036.0,Spain
